PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
70125,2,5.98,14.94
70125,3,5.98,14.94
70125,4,5.98,14.94
70125,99,2.24,12.7
68817,1,7.98,19.94
68817,2,7.98,19.94
68817,3,7.98,19.94
68817,4,7.98,19.94
68817,99,2.99,16.95
69393,1,7.98,19.94
69393,2,7.98,19.94
69393,3,7.98,19.94
69393,4,7.98,19.94
69393,99,2.99,16.95
70527,1,7.98,19.94
70527,2,7.98,19.94
70527,3,7.98,19.94
70527,4,7.98,19.94
70527,99,2.99,16.95
69981,1,7.98,19.94
69981,2,7.98,19.94
69981,99,2.99,16.95
1333,1,9.98,24.94
1333,2,9.98,24.94
1333,3,9.98,24.94
1333,4,9.98,24.94
1333,99,3.74,21.2
703,1,10.78,26.94
703,2,10.78,26.94
703,3,10.78,26.94
703,4,10.78,26.94
703,99,4.04,22.9
68843,1,10.78,26.94
68843,2,10.78,26.94
68843,99,4.04,22.9
71427,1,9.98,24.94
71427,2,9.98,24.94
68665,1,6.78,16.94
68665,2,6.78,16.94
68665,99,2.54,14.4
2485,1,5.18,12.94
2485,2,5.18,12.94
2485,99,1.94,11
70371,1,17.98,44.94
70371,2,17.98,44.94
70371,3,17.98,44.94
70371,4,17.98,44.94
70371,99,6.74,38.2
72243,1,6.78,16.94
72243,2,6.78,16.94
72243,3,6.78,16.94
72243,4,6.78,16.94
72243,99,2.54,14.4
70149,1,13.18,32.94
70149,2,13.18,32.94
70149,3,13.18,32.94
70149,4,13.18,32.94
70149,99,4.94,28
71721,1,3.98,9.94
71721,2,3.98,9.94
71721,3,3.98,9.94
71721,4,3.98,9.94
71721,99,1.49,8.45
70507,1,9.98,24.94
70507,2,9.98,24.94
70507,3,9.98,24.94
70507,4,9.98,24.94
70507,99,3.74,21.2
69667,1,9.18,22.94
69667,2,9.18,22.94
67489,1,2.78,6.94
67489,2,2.78,6.94
67489,3,2.78,6.94
67489,4,2.78,6.94
67489,99,1.04,5.9
69441,1,10.78,26.94
69441,2,10.78,26.94
69441,99,4.04,22.9
70359,1,10.78,26.94
70359,2,10.78,26.94
70359,3,10.78,26.94
70359,4,10.78,26.94
70359,99,4.04,22.9
70361,1,9.18,22.94
70361,2,9.18,22.94
70361,3,9.18,22.94
70361,4,9.18,22.94
70361,99,3.44,19.5
68895,1,9.18,22.94
68895,2,9.18,22.94
68895,3,9.18,22.94
68895,4,9.18,22.94
68895,99,3.44,19.5
68633,1,7.98,19.94
68633,2,7.98,19.94
68633,99,2.99,16.95
68633,3,7.98,19.94
68633,4,7.98,19.94
69553,1,6.78,16.94
69553,2,6.78,16.94
69553,99,2.54,14.4
68887,1,9.18,22.94
68887,2,9.18,22.94
68887,3,9.18,22.94
68887,4,9.18,22.94
68887,99,3.44,19.5
69171,1,5.98,14.94
69171,2,5.98,14.94
69171,3,5.98,14.94
69171,4,5.98,14.94
69171,99,2.24,12.7
70169,1,9.98,24.94
70169,2,9.98,24.94
70169,3,9.98,24.94
70169,4,9.98,24.94
70169,99,3.74,21.2
1455,1,15.98,39.94
1455,2,15.98,39.94
1455,3,15.98,39.94
1455,4,15.98,39.94
1455,99,5.99,33.95
71429,1,11.98,29.94
71429,2,11.98,29.94
71429,99,4.49,25.45
71429,3,11.98,29.94
71429,4,11.98,29.94
70011,1,7.98,19.94
70011,2,7.98,19.94
70011,3,7.98,19.94
70011,4,7.98,19.94
70011,99,2.99,16.95
50841,1,3.98,9.94
50841,2,3.98,9.94
50841,99,1.49,8.45
70819,1,11.98,29.94
70819,2,11.98,29.94
70819,99,4.49,25.45
69077,1,17.98,44.94
69077,2,17.98,44.94
69077,99,6.74,38.2
70181,1,10.78,26.94
70181,2,10.78,26.94
70181,3,10.78,26.94
70181,4,10.78,26.94
70181,99,4.04,22.9
72265,1,3.98,9.94
72265,2,3.98,9.94
72265,3,3.98,9.94
