PERIOD,PGM_GRP_ID_S,TGT_SELL_THRUT_RAT,MIN_SELL_THRU_RAT,MAX_SELL_THRU_RAT
99,50968,0.990,0.010,0.010
2,50970,0.843,0.150,0.010
3,50970,0.843,0.150,0.010
99,50970,0.990,0.010,0.010
2,50983,0.675,0.150,0.010
3,50983,0.675,0.150,0.010
99,50983,0.990,0.010,0.010
2,52570,0.868,0.150,0.010
3,52570,0.868,0.150,0.010
99,52570,0.990,0.010,0.010
2,56799,0.922,0.150,0.010
3,56799,0.922,0.150,0.010
99,56799,0.990,0.010,0.010
2,56801,0.787,0.150,0.010
3,56801,0.787,0.150,0.010
99,56801,0.990,0.010,0.010
2,56803,0.912,0.150,0.010
3,56803,0.912,0.150,0.010
99,56803,0.990,0.010,0.010
2,56804,0.904,0.150,0.010
3,56804,0.904,0.150,0.010
99,56804,0.990,0.010,0.010
2,56805,0.797,0.150,0.010
3,56805,0.797,0.150,0.010
99,56805,0.990,0.010,0.010
2,56825,0.747,0.150,0.010
3,56825,0.747,0.150,0.010
99,56825,0.990,0.010,0.010
2,56826,0.782,0.150,0.010
3,56826,0.782,0.150,0.010
99,56826,0.990,0.010,0.010
2,56885,0.903,0.150,0.010
3,56885,0.903,0.150,0.010
99,56885,0.990,0.010,0.010
2,56887,0.747,0.150,0.010
3,56887,0.747,0.150,0.010
99,56887,0.990,0.010,0.010
2,56950,1.000,0.150,0.010
3,56950,1.000,0.150,0.010
4,56950,0.880,0.100,0.010
